machine_id,instance_num,job_id,task_index,task_status,start_time,end_time,plan_cpu,plan_mem
M13,9,j_502,8,Running,100328,100385,50,0.79
M217,2,j_62,3,Running,100063,100365,100,0.59
M102,18,j_860,8,Ready,100052,100339,200,0.2
M175,9,j_319,7,Waiting,100402,100618,50,0.2
M434,12,j_1237,9,Terminated,100107,100290,300,0.59
M194,3,j_1131,10,Waiting,100560,101032,100,0.79
M117,10,j_164,8,Terminated,100088,100426,300,0.39
M187,6,j_759,12,Running,100405,100832,200,0.79
M88,18,j_1494,8,Running,100394,100719,300,0.49
M353,18,j_450,11,Terminated,100565,100892,100,0.2
M34,7,j_1871,19,Waiting,100308,100445,100,0.79
M469,15,j_293,9,Running,100321,100773,100,0.79
M383,19,j_878,19,Ready,100412,100546,200,0.3
M47,2,j_1764,4,Running,100402,100654,100,0.79
M198,13,j_1221,15,Waiting,100461,100493,50,0.79
M275,9,j_1575,11,Terminated,100509,100962,200,0.49
M489,9,j_1991,17,Running,100398,100399,50,0.79
M260,20,j_408,5,Waiting,100606,100933,100,0.59
M307,11,j_1001,1,Terminated,100663,100663,200,0.39
M450,19,j_1940,3,Terminated,100230,100353,300,0.2
M66,16,j_1940,18,Running,100611,100675,200,0.59
M109,18,j_1547,7,Waiting,100455,100948,300,0.79
M265,15,j_248,8,Running,100475,100935,50,0.39
M118,19,j_452,1,Terminated,100553,100836,50,0.3
M441,11,j_146,17,Running,100718,100734,200,0.79
M68,19,j_1181,16,Running,100380,100656,300,0.49
M338,14,j_726,14,Ready,100326,100375,300,0.79
M331,4,j_125,13,Waiting,100624,100958,50,0.3
M230,5,j_865,6,Waiting,100384,100658,300,0.3
M442,18,j_201,2,Terminated,100516,100929,50,0.3
M247,7,j_1771,13,Terminated,100504,100752,100,0.49
M475,15,j_585,14,Ready,100496,100631,100,0.3
M30,19,j_1507,18,Terminated,100418,100913,200,0.2
M258,17,j_323,2,Terminated,100608,100852,100,0.2
M442,8,j_827,4,Running,100363,100708,50,0.59
M299,19,j_1071,11,Waiting,100546,100882,100,0.79
M203,5,j_1376,10,Ready,100465,100600,200,0.2
M289,4,j_151,18,Running,100578,100896,200,0.3
M451,8,j_757,10,Running,100807,100842,300,0.59
M335,17,j_17,18,Waiting,100679,101092,50,0.3
M55,18,j_319,9,Waiting,100434,100889,100,0.79
M325,9,j_1036,16,Waiting,100490,100841,50,0.2
M23,1,j_684,5,Waiting,100824,100965,100,0.79
M219,18,j_20,4,Terminated,100697,101058,100,0.59
M299,18,j_304,14,Running,100844,101033,50,0.39
M408,2,j_1841,12,Running,100889,101366,100,0.79
M287,14,j_1995,20,Running,100614,101013,100,0.3
M13,6,j_1509,11,Ready,100890,101101,100,0.39
M56,13,j_1787,2,Ready,100848,101207,100,0.3
M421,8,j_457,1,Running,100639,100795,300,0.39
M496,9,j_720,17,Ready,100911,100946,200,0.2
M134,6,j_1190,9,Terminated,100922,101418,50,0.59
M403,11,j_894,20,Terminated,100663,101036,300,0.59
M363,14,j_4,17,Running,100624,100646,200,0.49
M472,11,j_1277,11,Terminated,100982,101322,200,0.59
M168,13,j_1428,10,Running,100848,101057,100,0.49
M463,6,j_1261,19,Waiting,100866,101249,300,0.59
M108,14,j_1610,19,Waiting,100676,100822,300,0.49
M262,16,j_1626,6,Terminated,100881,100990,200,0.59
M420,8,j_1378,10,Running,100727,100774,100,0.3
M244,20,j_1741,3,Ready,100580,100705,300,0.79
M357,13,j_1013,13,Running,100675,101042,100,0.79
M441,4,j_1595,14,Running,101034,101418,100,0.79
M286,8,j_1879,4,Ready,100831,100856,100,0.49
