provider,region,network_latency_ms,response_time_ms,availability_percent,resource_utilization_percent
AWS,eu-west-1,21,57,99.926,93
AWS,ap-south-1,78,123,99.933,94
AWS,us-west-2,27,58,99.956,84
AWS,us-west-2,10,47,99.977,78
Azure,East US,10,40,99.972,46
AWS,us-east-1,28,46,99.978,41
Azure,Southeast Asia,71,97,99.946,42
Azure,Central India,76,116,99.92,78
GCP,asia-east1,50,60,99.939,89
GCP,asia-east1,65,109,99.963,82
GCP,asia-south1,76,112,99.937,42
GCP,us-east1,20,61,99.965,50
Azure,Central India,80,115,99.988,86
Azure,Southeast Asia,53,64,99.919,45
GCP,europe-west1,11,43,99.999,65
GCP,asia-east1,17,67,99.928,71
GCP,us-east1,79,119,99.997,49
GCP,asia-south1,58,97,99.904,48
Azure,West Europe,12,38,99.979,83
Azure,Southeast Asia,63,73,99.911,44
GCP,europe-west1,21,36,99.943,40
GCP,asia-south1,19,63,99.969,65
AWS,eu-west-1,43,83,99.903,75
Azure,Southeast Asia,54,65,99.963,50
Azure,East US,28,61,99.966,87
AWS,us-east-1,76,110,99.953,49
GCP,europe-west1,59,92,99.913,61
GCP,us-central1,31,78,99.938,43
GCP,us-east1,68,79,99.935,95
GCP,asia-south1,48,85,99.978,41
AWS,ap-southeast-1,51,94,99.951,48
Azure,Australia East,23,67,99.972,54
GCP,europe-west1,21,48,99.992,55
AWS,eu-west-1,43,78,99.904,72
AWS,us-west-2,74,96,99.975,41
AWS,eu-west-1,39,54,99.959,45
Azure,Australia East,78,96,99.992,91
GCP,us-east1,71,112,99.972,89
AWS,eu-west-1,72,103,99.939,54
GCP,us-east1,10,58,99.96,71
Azure,Australia East,25,38,99.936,69
Azure,Southeast Asia,50,82,99.921,68
Azure,West Europe,33,67,99.997,43
Azure,Southeast Asia,74,100,99.982,51
GCP,asia-south1,57,71,99.991,47
Azure,Australia East,51,64,99.993,43
GCP,asia-south1,48,64,99.946,88
GCP,europe-west1,41,79,99.926,68
GCP,asia-east1,54,79,99.994,69
GCP,asia-east1,45,76,99.995,51
AWS,us-east-1,64,105,99.973,70
GCP,us-central1,70,114,99.914,95
Azure,West Europe,14,53,99.95,78
Azure,Australia East,11,41,99.972,54
GCP,us-central1,42,70,99.917,66
Azure,Southeast Asia,15,63,99.901,83
AWS,us-west-2,15,42,99.952,88
GCP,asia-east1,34,63,99.949,69
AWS,eu-west-1,77,92,99.91,79
GCP,asia-east1,45,67,99.952,44
GCP,asia-south1,62,100,99.911,76
Azure,Southeast Asia,76,108,99.915,48
AWS,us-west-2,40,52,99.924,53
AWS,ap-south-1,13,23,99.941,60
GCP,us-central1,15,40,99.972,94
Azure,Central India,33,62,99.911,82
GCP,europe-west1,37,79,99.903,63
AWS,ap-south-1,38,74,99.922,82
Azure,Southeast Asia,34,68,99.908,71
AWS,eu-west-1,27,67,99.972,46
AWS,us-east-1,68,100,99.955,41
Azure,Australia East,55,83,99.936,64
AWS,us-east-1,75,91,99.959,60
GCP,us-central1,36,70,99.918,48
Azure,West Europe,10,30,99.978,45
Azure,East US,22,41,99.922,67
AWS,ap-south-1,17,30,99.915,69
GCP,us-central1,27,39,99.936,91
AWS,us-west-2,40,77,99.934,49
AWS,us-east-1,47,77,99.966,62
AWS,us-east-1,17,62,99.906,55
Azure,West Europe,26,71,99.978,90
GCP,asia-east1,43,79,99.997,75
Azure,Central India,26,62,99.987,78
Azure,Central India,50,60,99.979,72
AWS,eu-west-1,20,54,99.971,79
Azure,Southeast Asia,23,71,99.995,74
AWS,ap-south-1,19,41,99.92,62
Azure,Southeast Asia,46,91,99.997,50
Azure,East US,43,54,99.976,80
GCP,us-east1,34,67,99.918,48
GCP,asia-east1,22,49,99.912,44
Azure,East US,42,75,99.913,66
AWS,ap-southeast-1,43,86,99.978,95
AWS,ap-southeast-1,25,56,99.928,91
GCP,europe-west1,66,91,99.901,93
AWS,ap-southeast-1,22,60,99.983,92
Azure,West Europe,26,60,99.9,53
AWS,us-east-1,63,81,99.979,45
AWS,ap-southeast-1,44,80,99.917,64
Azure,East US,13,30,99.978,65
Azure,Australia East,16,66,99.967,85
AWS,eu-west-1,49,97,99.954,82
Azure,East US,28,57,99.928,52
Azure,West Europe,73,85,99.942,95
AWS,us-west-2,16,61,99.922,93
AWS,ap-south-1,34,69,99.956,92
Azure,Australia East,56,70,99.994,95
AWS,us-east-1,66,78,99.993,59
GCP,us-central1,36,48,99.915,81
GCP,us-central1,16,52,99.979,70
GCP,asia-south1,52,73,99.964,65
Azure,East US,21,33,99.921,82
GCP,us-east1,48,81,99.951,85
Azure,Central India,62,83,99.953,94
GCP,asia-east1,21,31,99.988,78
GCP,us-east1,76,124,99.993,78
AWS,ap-south-1,41,91,99.979,75
Azure,East US,57,85,99.98,69
Azure,Central India,78,124,99.999,81
Azure,West Europe,31,43,99.937,77
AWS,ap-south-1,57,93,99.966,46
GCP,asia-east1,19,43,99.957,48
GCP,us-central1,72,115,99.975,80
GCP,asia-south1,52,82,99.993,80
Azure,Central India,53,93,99.917,46
GCP,us-central1,76,95,99.937,42
AWS,us-west-2,31,66,99.974,51
GCP,us-east1,75,96,99.976,71
GCP,us-central1,70,89,99.927,83
GCP,asia-south1,38,52,99.942,94
Azure,Southeast Asia,50,63,99.963,95
Azure,East US,51,89,99.946,47
AWS,eu-west-1,56,86,99.977,84
GCP,asia-east1,70,117,99.969,82
AWS,us-east-1,33,51,99.965,52
GCP,asia-south1,64,114,99.983,62
GCP,us-east1,44,76,99.954,83
AWS,eu-west-1,36,49,99.912,48
GCP,us-central1,72,114,99.942,85
Azure,East US,34,55,99.935,61
GCP,asia-south1,72,89,99.939,62
GCP,asia-south1,23,45,99.925,84
AWS,eu-west-1,32,54,99.908,44
Azure,Southeast Asia,65,103,99.971,66
AWS,us-east-1,48,90,99.939,93
