Feature,Importance
memory_cpu_ratio,0.8317515680711575
plan_mem,0.16824843192884245
task_index,0.0
machine_id,0.0
start_time,0.0
end_time,0.0
cpu_num,0.0
memory_size,0.0
disk_size,0.0
status,0.0
failure_domain_1,0.0
instance_num,0.0
failure_domain_2,0.0
provider,0.0
vm_type,0.0
region,0.0
memory_gb,0.0
hourly_vm_cost_usd,0.0
storage_cost_gb_month_usd,0.0
cpu_cores,0.0
data_transfer_cost_gb_usd,0.0
network_latency_ms,0.0
availability_percent,0.0
response_time_ms,0.0
resource_utilization_percent,0.0
execution_time,0.0
latency_score,0.0
availability_score,0.0
